Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,El mundo árabe,ARB,803898.9680917,1850378.15901,2364088.66275,2387502.01095604,1924244.97278668,2483349.10406116,1908696.04241466,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Estados pequeos del Caribe,CSS,43058.1476643,51194.886267,84746.400088,104908.714794945,86416.4213295599,92087.6380542124,95976.8445260282,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Europa Central y del Báltico,CEB,1393914.87107,978162.18909,1013348.7628427,950398.158122265,991582.772151622,999303.127035554,970733.622563327,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,inicial del dividendo demográfico,EAR,7079997.8297136,7657770.37611515,8414829.010518,8907330.97289743,8437475.16625849,9969597.19103173,9734849.87752356,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Asia oriental y el Pacífico,EAS,9194080.2027611,10262753.8146233,15695448.0242623,16915747.610773,16955987.613576,18272836.6301718,18822910.6306507,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Asia oriental y el Pacífico (excluido altos ingresos),EAP,6845134.2110639,6883003.1587603,12335617.3075992,13445500.9794155,13690330.8900903,14921809.1191574,15379925.3059466,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Asia oriental y el Pacífico (BIRF y la AIF),TEA,6682114.3756856,6785141.8347273,12236181.5232762,13345525.611182,13586157.6482893,14814586.0567202,15269971.5754426,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Zona del Euro,EMU,3607947.08287,3444393.41124,3404930.2512527,3220405.49858303,3247113.77046328,3171535.08478565,3160160.76479845,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Europa y Asia central,ECS,11706235.634271,9447828.22005285,9884410.9990027,9020106.60577823,9271012.66558048,9372189.06816827,9398206.52377517,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Europa y Asia central (excluido altos ingresos),ECA,6225705.13164,4399393.69658785,4906651.2795,4319911.59557729,4481327.09794215,4719915.16062177,4762188.50916561,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Europa y Asia central (BIRF y la AIF),TEC,6734455.5231,4819347.77818785,5360570.8684,4756793.79173955,4938985.61159378,5173160.14012208,5207216.45085846,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Unión Europea,EUU,5692720.79287,5121050.56363,5053634.0241027,4758745.15132997,4847306.34745966,4728177.55845502,4702090.24603613,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Frágiles y situaciones de conflicto afectados,FCS,3152605.8633726,2995909.9478013,3269005.5525102,3031422.161708,3279049.88685696,3499892.37567756,3501209.81731015,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Países pobres muy endeudados (PPME),HPC,2969417.823563,3975100.338862,4287552.842832,3919664.32360956,4105846.55276257,4639234.88148532,4636655.63416924,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Ingreso alto,HIC,15127107.939502,17291281.9807543,17461544.2147818,17109475.2252918,16682200.0908154,17304794.1295276,16561681.4548916,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Sólo BIRF,IBD,17991977.1992381,17711576.453821,24085144.237735,24196187.9125031,26541450.8902957,28383099.4483339,29153052.3466099,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,BIRF y la AIF,IBT,22680066.079121,23038445.4752742,29956424.5384812,29753566.5275152,32391347.4338157,34579567.6165557,35371309.5158842,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,mezcla de la AIF,IDB,867279.4364153,1090514.519533,1182791.958108,1137407.86635951,1127794.28406576,1126064.70536997,1136258.85367803,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,Sólo AIF,IDX,3820809.4434676,4236354.50192015,4688488.3426382,4419970.7486526,4722102.25945416,5070403.46285176,5081998.3155963,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,total de la AIF,IDA,4688088.8798829,5326869.02145315,5871280.3007462,5557378.6150121,5849896.54351992,6196468.16822173,6218257.16927433,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,avanzada del dividendo demográfico,LTE,11933998.753333,11556770.802708,17730471.6462599,17525750.6177232,19970395.1938096,21124896.5353308,21551516.3036502,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,América Latina y el Caribe,LCN,3365946.00565312,3176114.812005,3739497.543419,3362268.01637627,5052727.65148622,5667496.31418988,5746908.25216716,..,..,..,..,..
Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,América Latina y el Caribe (excluido altos ingresos),LAC,3003209.9797553,2682728.612618,3105331.196018,2767061.25702177,4459145.86606927,5058978.11893264,5123816.59418472,..,..,..,..,..
